Accelerator_Pedal_value,Throttle_position_signal,Engine_speed,Engine_torque,Current_Gear,Vehicle_speed,Indication_of_brake_switch_ON(2)/OFF(1),Time(s)
0,5.2,929,5.5,0,0,1,1
0,6.1,726,7,0,0,1,2
0,5.2,685,7,0,0,1,3
0,4.7,675,7,0,0,1,4
0,5.7,716,8.2,0,0,1,5
0,5.7,740,9,0,0,2,6
0,5.7,682,11.7,14,0,2,7
0,6.6,670,16.8,14,0,2,8
0,7.1,655,21.5,14,0,2,9
0,7.1,648,23.8,14,0,2,10
0,7.5,659,24.2,14,0,2,11
0,7.1,663,24.2,14,0,2,12
0,7.1,659,24.2,14,0,2,13
0,7.5,668,25.4,14,1,2,14
0,8.5,742,26.6,14,2,2,15
0,8.5,759,26.6,14,3,2,16
0,8.5,761,26.6,14,3,2,17
0,8.5,766,27,14,3,2,18
0,8.5,769,26.6,14,4,2,19
0,8.5,768,26.6,14,4,2,20
0,8.5,767,26.6,14,4,2,21
0,8.5,770,27,14,3,2,22
0,8.5,768,27,14,3,2,23
0,8.5,765,26.6,14,1,2,24
0,7.5,724,24.6,0,0,2,25
0,6.1,673,21.9,0,0,2,26
0,6.1,658,20.7,0,0,2,27
0,6.6,658,20.7,1,0,2,28
0,7.5,673,23.8,1,0,1,29
0,8,726,25.8,1,0,2,30
0,8,747,25.8,1,2,2,31
0,8,758,26.2,1,2,1,32
0,8,763,26.2,1,3,1,33
0,9.4,796,27.7,1,3,1,34
0.4,8.5,978,28.9,1,4,1,35
1.2,8.9,891,27.7,1,4,1,36
0.4,7.5,1029,26.6,1,5,1,37
0,8,854,23.8,1,4,1,38
0.8,8.5,975,28.1,1,5,1,39
0.8,8.9,999,29.3,1,5,1,40
2.7,8.9,1064,28.9,1,5,1,41
8.6,11.3,1277,34.4,1,6,1,42
9.4,11.3,1453,32.4,1,8,1,43
9.8,11.3,1643,30.9,1,9,1,44
0.8,8,1610,20.3,1,10,1,45
0,8.5,1112,20.7,1,10,1,46
11.3,13.2,1666,34.8,1,11,1,47
12.9,15,1786,37.1,2,13,1,48
10.9,15,1692,40.2,2,15,1,49
7.8,11.3,1717,29.7,2,17,1,50
0.4,8.5,1664,19.9,2,17,1,51
0,7.5,1466,14.5,2,17,1,52
14.1,14.1,1634,31.6,2,16,1,53
16.8,20.7,2011,46.9,2,19,1,54
6.2,11.8,2072,30.9,2,21,1,55
0,8,1450,16,3,21,1,56
0,8,1306,17.6,3,21,1,57
0,8,1262,16.8,3,21,1,58
0,7.5,1206,16.4,3,20,1,59
0,7.5,1138,16.8,3,19,1,60
0,7.5,1080,17.6,3,19,1,61
3.9,9.4,1169,25,3,18,1,62
16.8,16.9,1507,41.8,3,18,1,63
21.5,58.7,1766,51.2,3,19,1,64
28.9,100,1858,53.5,3,20,1,65
30.1,100,1898,53.9,3,21,1,66
30.9,100,1956,54.7,3,22,1,67
35.9,100,2010,56.3,3,23,1,68
36.3,100,2076,55.1,3,25,1,69
30.9,100,2129,53.5,3,26,1,70
21.5,93.4,2180,52.3,3,28,1,71
8.2,16,2028,38.3,3,29,1,72
5.9,9.9,1830,24.2,3,28,1,73
10.2,11.3,1797,27.7,3,27,1,74
10.2,11.3,1776,28.9,3,26,1,75
15.2,14.6,1824,35.2,3,27,1,76
23.4,29.6,2035,50.8,3,28,1,77
18.4,75.1,2212,50.4,3,30,1,78
0,7.5,1886,16.8,3,30,2,79
0,14.1,1464,26.2,4,27,2,80
0,10.8,1245,23.4,4,23,1,81
16.4,24.9,1803,47.7,3,22,1,82
14.5,78.9,1965,52.3,3,23,1,83
0,12.7,1645,34.4,3,23,1,84
21.5,55.4,1897,50.8,3,23,1,85
4.7,35.7,1813,41,3,23,1,86
0.8,12.7,1536,31.3,3,21,1,87
19.9,49.3,1842,50.8,3,21,1,88
30.9,100,1960,54.3,3,21,1,89
35.5,100,2045,54.7,3,22,1,90
34.8,100,2061,54.3,3,24,1,91
6.2,37.6,1882,39.5,3,24,1,92
0,9.4,1518,22.7,3,23,1,93
0,8.9,1334,21.1,3,20,1,94
0,8.9,1157,22.3,3,17,2,95
0,8.9,996,25.8,3,12,2,96
7.4,16,982,31.3,3,8,1,97
28.5,86.9,1730,51.6,1,8,1,98
32.8,100,2146,52.3,1,12,1,99
38.3,100,2682,56.3,1,16,1,100
33.2,86.9,3385,61.3,1,21,1,101
6.2,11.8,2474,28.1,2,23,1,102
0,7.1,1450,13.7,3,20,1,103
0,8,1159,19.5,3,17,2,104
0,8.9,978,25.4,3,12,2,105
0,8.5,886,25.4,3,6,1,106
4.7,10.4,958,30.1,1,4,1,107
1.2,9.4,1242,32.4,1,5,1,108
12.5,13.2,1132,34.8,1,5,1,109
6.6,14.1,1536,39.8,1,7,1,110
1.6,8,1233,25.4,1,7,1,111
0,7.1,997,21.9,1,5,2,112
0,8.9,809,25.8,1,3,2,113
0,8,786,24.6,1,0,2,114
0,7.5,702,25.4,1,0,2,115
0,7.1,687,25.4,1,0,2,116
0,7.1,682,25.4,1,0,2,117
0,7.1,678,25.4,1,0,2,118
0,7.1,678,25,1,0,2,119
0,7.1,673,25.4,1,0,2,120
3.1,11.8,755,30.1,1,0,1,121
4.7,16.9,1353,37.5,1,3,2,122
0,7.1,924,23.8,1,5,2,123
0,8,805,25,1,3,2,124
0,8,789,25,1,2,2,125
0,8.5,795,25.8,1,3,1,126
3.1,9.4,1138,31.6,1,5,1,127
10.9,11.3,1376,33.6,1,7,1,128
16.8,16,1891,38.7,1,11,1,129
28.1,35.2,2090,50,2,16,1,130
32.4,97.2,2333,51.2,2,22,1,131
16.8,39.5,2817,47.3,2,28,1,132
1.2,7.5,2018,16,3,32,1,133
0,10.4,1630,13.3,4,34,2,134
0,9.4,1713,5.5,4,35,2,135
0,8.5,1657,5.5,4,34,2,136
0,5.7,1367,1.6,4,31,2,137
0,6.6,1306,10.9,4,28,2,138
0,7.1,940,16.4,4,24,2,139
0,7.1,908,16.8,3,22,2,140
0,8,1178,18.4,3,20,2,141
0,7.1,1099,17.6,3,18,2,142
0,7.5,977,20.7,3,15,2,143
0,8,889,24.6,3,11,2,144
0,8,835,25.8,3,7,2,145
0,7.5,801,25,1,2,2,146
0,7.1,753,24.6,1,0,2,147
0,7.1,689,25,1,0,2,148
0,7.1,680,24.6,1,0,2,149
0,7.1,679,25,1,0,2,150
0,7.1,678,24.6,1,0,2,151
0,7.1,676,24.6,1,0,2,152
0,7.1,673,24.6,1,0,2,153
0,7.1,671,24.6,1,0,2,154
0,7.1,672,24.2,1,0,2,155
0,7.1,671,24.6,1,0,2,156
0,7.1,671,24.2,1,0,2,157
0,7.1,671,24.2,1,0,2,158
0,7.1,671,24.2,1,0,2,159
0,7.1,672,24.2,1,0,2,160
0,7.1,670,24.2,1,0,2,161
